IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus
29159747,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,,1734,GAGEL,AVE,,,,,,,,38.17579646,-85.821494,,44497,2216,2,1,0,0,CLEAR,WET,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44502.20082,FALSE,7114,Accepted
29141443,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,BROADWAY,,E,,FLOYD,,,,,38.24554238,-85.74976977,2.837,44496,1743,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44498.3203,FALSE,5367,Accepted
28935132,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0264,,,,,,,,,,,38.21057049,-85.67086876,0.327,44490,1514,2,1,0,0,CLEAR,DRY,FALSE,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,I 0264,US31E S,44491.57037,FALSE,8278,Accepted
28916026,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,6TH,ST,S,,PARK,,,,,38.23179257,-85.76426198,1.754,44486,1600,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44487.36017,FALSE,7132,Accepted
29125238,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,6TH,ST,S,US0150,BROADWAY,,,,,38.24636469,-85.76171558,0.739,44484,2323,2,1,0,1,RAINING,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44496.41236,FALSE,5335,Accepted
28906860,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,BROADWAY,,W,,,,,,,38.24679567,-85.76635135,1.952,44483,1326,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44484.30314,FALSE,5148,Accepted
28896626,0561000,JEFFERSONTOWN POLICE DEPT,Accepted,JEFFERSON,,,MERIONETH,DR,,KY0155,TAYLORSVILLE,,,,,38.20357765,-85.57687304,,44481,1655,2,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44481.95144,FALSE,8265,Accepted
28854856,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,1020,MARKET,ST,W,,,,,,,38.25634529,-85.76689568,21.271,44479,0621,3,1,0,0,CLEAR,DRY,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44480.35155,FALSE,7386,Accepted
28854819,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,ST CATHERINE,ST,W,,GARVIN,,,,,38.23739919,-85.76159925,0.367,44478,1420,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44480.35068,FALSE,5186,Accepted
28780652,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060,,SHELBYVILLE,RD,,,VIEUX CARRE,,,,,38.24622841,-85.57462994,7.982,44469,0428,1,0,0,1,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,,,44470.33755,FALSE,5041,Accepted
